model,accuracy,precision,recall,f1,pr_auc,roc_auc,tier,cv_f1,best_params
baseline / majority_class,0.844626168224299,0.0,0.0,0.0,,,baseline,,
behaviour / logreg,0.8925233644859814,0.5944700460829493,0.9699248120300752,0.7371428571428571,0.7842879268944524,0.9589585998190495,behaviour,0.8144890348854613,"{""model__C"": 1.0}"
behaviour / random_forest,0.9591121495327103,0.80625,0.9699248120300752,0.8805460750853242,0.9518694992844523,0.9883162262502729,behaviour,0.8937859989153758,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1}"
behaviour+graph / logreg,0.9299065420560748,0.6951871657754011,0.9774436090225563,0.8125,0.7991776188658043,0.9666593870568538,behaviour+graph,0.8444175144128163,"{""model__C"": 10.0}"
behaviour+graph / random_forest,0.9626168224299065,0.821656050955414,0.9699248120300752,0.8896551724137931,0.9693373064761943,0.993053172349962,behaviour+graph,0.912659489751278,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1}"
