address,label,status,n_tx,n_sent,n_received,sent_ratio,n_counterparties,n_out_counterparties,n_in_counterparties,counterparty_ratio,repeat_counterparty_ratio,total_eth_sent,total_eth_received,mean_eth_sent,max_eth_sent,mean_eth_received,max_eth_received,net_eth_flow,value_concentration,zero_value_ratio,mean_gas_price_gwei,max_gas_price_gwei,std_gas_price_gwei,mean_gas_limit,failed_ratio,self_tx_ratio,first_block,last_block,lifetime_days,tx_per_active_day,mean_days_between_tx,min_days_between_tx,burstiness,degree,in_degree,out_degree,pagerank,clustering,community_size,neighbour_risk_ratio,n_labelled_neighbours
0x3a46e28ce874036dfdebbbe7ea121d11a34b8bba,0,ok,5,3.0,2.0,0.6,5.0,3.0,2.0,1.0,0.0,1000.99685,1001.0,333.66561666666666,864.3749352437796,500.5,824.9420193237796,0.003150000000005,0.8635141411721522,0.0,46.4,50.0,4.409081537009721,34800.0,0.0,0.0,3995865,3995880,0.0028892576390946,5.0,0.0007223144097736,0.0,1.1527744312883696,5.0,2.0,3.0,3.447684386883675e-05,0.0,93.0,0.0,1.0
0xd6f8668e96951e4108a79bc45ccef022544c73b3,1,ok,7,0.0,6.0,0.0,3.0,0.0,3.0,0.4285714285714285,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.142857142857143,12.0,3.356382892705923,361376.28571428574,0.0,0.0,5118826,5929740,139.11223580759156,0.0503190819942094,23.185372634598593,0.0028769162959522,1.6496466841435509,3.0,3.0,0.0,1.3009794396967956e-05,0.0,165.0,0.0,0.0
0xaf313b5cf52d7a2ad7785d008660ab68421db2d1,1,ok,3,1.0,2.0,0.3333333333333333,3.0,1.0,2.0,1.0,0.0,0.627162165,0.63,0.627162165,0.627162165,0.315,0.33,0.002837835,1.0,0.0,59.37833333333333,135.135,55.8841325621345,21000.0,0.0,0.0,5209283,11632814,1041.4198739653716,0.0028806824941577,520.7099369826857,0.2927685407411169,0.9994377511932316,3.0,2.0,1.0,3.447684386883675e-05,0.0,4.0,0.0,0.0
0x769b0589eddc5f1155c5e8ece4e35553a0f285af,0,ok,8,3.0,5.0,0.375,5.0,2.0,3.0,0.625,0.375,12.99271661,12.994674859999998,4.330905536666667,7.99978869,2.5989349719999995,4.89464992,0.0019582499999977,0.615713320787961,0.0,22.53125,41.0,13.106795410682963,50625.0,0.0,0.0,6546072,8988239,399.99384522458195,0.0200003077435061,57.14197788922599,0.0006495935166323,1.921870474203878,5.0,3.0,2.0,3.682758551443983e-05,0.0,1474.0,0.0,0.0
0x34743ffa1f93e745668725e44efeb3c50a237796,1,ok,17,1.0,16.0,0.0588235294117647,17.0,1.0,16.0,1.0,0.0,28.433,28.434401649,28.433,28.433,1.7771501030625,9.999559,0.0014016490000017,1.0,0.0,25.64176493235294,50.0,9.447052741629628,41529.41176470588,0.0,0.0,4280285,4313136,7.786094595742998,2.1833795866408625,0.4866309122339374,0.0,2.685646512164076,17.0,16.0,1.0,0.0001489003844647,0.0,447.0,0.0,1.0
0xac2e2e6589659a92f55a4917cffee6f6e0d75b4a,0,ok,9,5.0,4.0,0.5555555555555556,5.0,3.0,3.0,0.5555555555555556,0.4444444444444444,10.72582136847904,10.746041189283758,2.145164273695808,6.5745053044790405,2.6865102973209396,10.466,0.0202198208047175,0.612960544336506,0.0,14.11111111111111,21.0,9.278942042716873,57333.666666666664,0.0,0.0,4022993,4661893,140.76592198546285,0.0639359290448823,17.595740248182857,0.0161319498138295,2.0020141743531905,5.0,3.0,3.0,2.5510268254926483e-05,0.0,8.0,0.0,1.0
0x97ebb477f3ad909bdc3793bf6933149d05600df0,0,ok,100,49.0,51.0,0.49,3.0,1.0,2.0,0.03,0.97,12.87498068,12.703301419915109,0.262754707755102,3.4243149,0.2490843415669628,1.42,-0.1716792600848933,0.2659666049300821,0.0,22.38961505374,58.0,6.015578410354125,67272.4,0.01,0.0,4157046,4874246,144.86412283110948,0.690302043360905,1.463273967991005,0.000481550740423,6.514198413885952,3.0,2.0,1.0,2.3567210850969635e-05,0.0,1541.0,0.0,0.0
0xb37722e14fcfc78a56312a9a746c5474822002f2,1,ok,38,2.0,36.0,0.0526315789473684,35.0,1.0,34.0,0.9210526315789472,0.0789473684210526,28.06922589,28.07304189,14.034612945,18.06922589,0.7798067191666667,4.98466295,0.0038160000000004,0.6437379484853332,0.0,66.32894736842105,100.0,32.316745764180894,81736.84210526316,0.0,0.0,4720638,4747977,4.535046479166658,8.37918644815802,0.122568823761261,0.0009952916646445,5.188386338413164,35.0,34.0,1.0,0.0004049166223226,0.0,39.0,0.0,0.0
0xb0dba64e6a353a74cc78e8a98914c4dff517ba7d,1,ok,4,2.0,2.0,0.5,3.0,1.0,2.0,0.75,0.25,0.5900000000000001,0.6000000000000001,0.295,0.39,0.3,0.4,0.01,0.6610169491525423,0.0,25.75,41.0,16.663958113245485,40750.0,0.0,0.0,5093700,5093965,0.0448460481481419,4.0,0.0149486827160473,0.0069384451845177,0.5424782603003893,3.0,2.0,1.0,3.447684386883675e-05,0.0,4.0,0.0,0.0
0x19f107d2adf286eee88373b56651e8e0ff767603,0,ok,75,21.0,54.0,0.28,17.0,2.0,15.0,0.2266666666666666,0.7733333333333333,159.4477773769399,159.4512244,7.592751303663805,25.8517319958,2.952800451851852,24.995,0.0034470230600902,0.1621329091009254,0.0,11.96862091296,60.0,7.625164717628614,67976.0,0.0,0.0,6431248,20525388,2144.3296194229633,0.0349759660644814,28.977427289499506,0.0,7.622166481866721,17.0,15.0,2.0,0.0001657261547359,0.0,880.0,0.0,0.0
0x6834d3096793d0731348f1581ae1b20c9b79e26a,1,ok,6,3.0,3.0,0.5,2.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.139895,0.14,0.0466316666666666,0.099958,0.0466666666666666,0.1,0.000105,0.7145216054898318,0.0,21.333333333333332,41.0,19.669491322575908,21000.0,0.0,0.0,5285759,5285931,0.0289545437058916,6.0,0.0057909087411783,0.0008417018530545,0.9499366632044546,2.0,1.0,1.0,2.3506716189355696e-05,0.0,1443.0,0.0,0.0
0x4ed4d9e03fd97eae639f3530eeeb86b7726dbde9,0,ok,100,18.0,82.0,0.18,3.0,2.0,1.0,0.03,0.97,6.58045903684949,6.456929685848217,0.3655810576027494,1.0210271113095293,0.0787430449493685,0.200168713521941,-0.1235293510012729,0.1551604691393024,0.0,25.892565585009997,178.058583385,33.07828070429483,49560.0,0.0,0.0,6691501,16148323,1488.0001684613885,0.067204293466849,15.030304731933215,0.0065419472202106,2.037760009545985,3.0,1.0,2.0,1.439022898851899e-05,0.0,1393.0,0.0,0.0
0xadf5b0c2103598fb66a61714152f1d1717d49fe0,1,ok,32,2.0,30.0,0.0625,29.0,1.0,28.0,0.90625,0.09375,182.664,182.67402332376324,91.332,181.664,6.0891341107921075,68.0,0.0100233237632494,0.9945254675250732,0.0,36.56330798971875,82.90625,16.968112183760574,146781.25,0.0,0.0,3897234,3945726,9.340392094999553,3.4259803736859658,0.3013029708064371,0.0013483202319454,2.5167271104920172,29.0,28.0,1.0,0.0003197001635353,0.0,51.0,0.0,0.0
0xbeccd1b0e3fc3868e8c91085f5825e91a6d12e85,0,ok,8,6.0,2.0,0.75,7.0,6.0,1.0,0.875,0.125,0.0,0.0021999999999999,0.0,0.0,0.0010999999999999,0.0012,0.0021999999999999,0.0,0.75,8.359375,21.28125,5.881977239840358,58800.0,0.125,0.0,5014447,6942155,325.26555817375026,0.0245952877547722,46.46650831053576,0.0032153770355162,1.8968554061993292,7.0,1.0,6.0,2.3506716189355696e-05,0.0,376.0,0.0,0.0
