address,label,status,n_tx,n_sent,n_received,sent_ratio,n_counterparties,n_out_counterparties,n_in_counterparties,counterparty_ratio,repeat_counterparty_ratio,total_eth_sent,total_eth_received,mean_eth_sent,max_eth_sent,mean_eth_received,max_eth_received,net_eth_flow,value_concentration,zero_value_ratio,mean_gas_price_gwei,max_gas_price_gwei,std_gas_price_gwei,mean_gas_limit,failed_ratio,self_tx_ratio,first_block,last_block,lifetime_days,tx_per_active_day,mean_days_between_tx,min_days_between_tx,burstiness
0x439cb5628e64677c540a8635c86e41d83c1170d5,1,ok,2,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.0,5.6583297,5.6592957,5.6583297,5.6583297,5.6592957,5.6592957,0.0009660000000000224,1.0,0.0,36.5,46.0,9.5,21000.0,0.0,0.0,11252001,11275394,3.592982854445775,0.5566405632927809,3.592982854445775,3.592982854445775,0.0
0x22764de8f82f2d2a90e0ccca4556a2a5114b6461,1,ok,2,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.0,5.64203741,5.64296141,5.64203741,5.64203741,5.64296141,5.64296141,0.0009239999999994808,1.0,0.0,34.0,44.0,10.0,21000.0,0.0,0.0,11251794,11275378,3.6223189688915456,0.5521324922448819,3.6223189688915456,3.6223189688915456,0.0
0xc28f50625cfe028ab1a3458c7cebcf9657ff1438,1,ok,2,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.0,5.6546957,5.6556827,5.6546957,5.6546957,5.6556827,5.6556827,0.000986999999999405,1.0,0.0,35.2505,47.0,11.749499999999998,21000.0,0.0,0.0,11251829,11275378,3.61694324111221,0.5529531061662444,3.61694324111221,3.61694324111221,0.0
0x14130d36b36887620c37a404f859d11e293ec06a,1,ok,2,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.0,5.60897834,5.60996534,5.60897834,5.60897834,5.60996534,5.60996534,0.000986999999999405,1.0,0.0,36.0,47.0,11.0,21000.0,0.0,0.0,11251853,11275380,3.613564212222894,0.5534701703196508,3.613564212222894,3.613564212222894,0.0
0x2f77f4523a13138b472ac6faef624cce68da2c46,1,ok,2,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.0,5.64021103,5.64119803,5.64021103,5.64021103,5.64119803,5.64119803,0.0009870000000002932,1.0,0.0,36.0,47.0,11.0,21000.0,0.0,0.0,11251878,11275383,3.6101851833308185,0.5539882023876587,3.6101851833308185,3.6101851833308185,0.0
0x2315314c5cadb895c2c9982b847fd6f6a32d6129,1,ok,2,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.0,5.54105297,5.54203997,5.54105297,5.54105297,5.54203997,5.54203997,0.0009870000000002932,1.0,0.0,35.63077526,47.0,11.36922474,21000.0,0.0,0.0,11251933,11275385,3.602044795555649,0.5552401798188857,3.602044795555649,3.602044795555649,0.0
0x8651e8e218597e781e9a6d8ceb53ec5a236ae75b,1,ok,2,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.0,5.64679652,5.64778352,5.64679652,5.64679652,5.64778352,5.64778352,0.0009870000000002932,1.0,0.0,36.0,47.0,11.0,21000.0,0.0,0.0,11251975,11275387,3.5959011066677395,0.5561888218481531,3.5959011066677395,3.5959011066677395,0.0
0x2f80a6700e4bea478ac027f019f04a78a7538d06,1,ok,2,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.0,5.62337565,5.62436265,5.62337565,5.62337565,5.62436265,5.62436265,0.0009870000000002932,1.0,0.0,36.0,47.0,11.0,21000.0,0.0,0.0,11251985,11275390,3.594825961112424,0.5563551675756501,3.594825961112424,3.594825961112424,0.0
0x90a16ebcf1bc0da0347134f707da93c40bb8a4c5,1,ok,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,1411083.0,0.0,0.0,5004997,5004997,0.0,1.0,0.0,0.0,0.0
0x983bda798a24720bb4fe3dba287ec352e7b440fc,1,ok,8,0.0,7.0,0.0,1.0,0.0,1.0,0.125,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.125,20.0,5.206666399914632,249426.125,0.125,0.0,7275596,7298340,3.7713984974059795,2.1212290362587014,0.5387712139151399,0.00514040421280596,1.9185122681115916
0x45029af827c652f47b1f678456b2cd009647c8ad,1,ok,6,0.0,5.0,0.0,1.0,0.0,1.0,0.16666666666666666,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.4,136.1,44.77737523943685,222586.5,0.0,0.0,4909514,5072534,28.121986701110448,0.21335619221251814,5.624397340222089,0.004569220002050753,1.8978779933294327
0xf193a9afb00715aacf7ca9ebffafe02c77517c2e,1,ok,22,0.0,21.0,0.0,2.0,0.0,2.0,0.09090909090909091,0.9047619047619048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.951818193454546,45.0,10.40486496366308,166346.0,0.0,0.0,6614116,10598098,644.2101590487968,0.03415034626663435,30.676674240418894,0.012114766110424642,1.8334797264657667
0xcc02b920ae227f1be7d01fc241c27e5f74d40436,1,ok,4,0.0,3.0,0.0,1.0,0.0,1.0,0.25,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.75,4.0,0.4330127018922193,315642.0,0.5,0.0,6559407,6566457,1.1541770416663752,3.465672817599013,0.3847256805554584,0.004911391666090047,1.3850415167129628
0xa153a6ef80fb5d60de18688bdc82684d48fc8de1,1,ok,9,0.0,8.0,0.0,2.0,0.0,2.0,0.2222222222222222,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.981111122222222,10.0,3.4209759523443775,192032.22222222222,0.3333333333333333,0.0,6596445,6715379,19.471048549444035,0.4622247218554124,2.433881068680505,0.000982278334321799,2.1743491870250256
0xb4c9d8a5812a024bdb177991af256da144776033,1,ok,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
